NO_OF_FRAMES	127
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
153	1.52000	-120.692	329.792	1609.327	-151.381	498.679	1338.450	-79.922	599.090	1042.261	122.920	615.133	919.490	-185.119	194.674	1340.352	-241.517	115.500	1025.186	-173.954	58.144	805.632	-144.011	509.772	823.057	-218.698	430.703	443.773	-345.177	386.588	66.561	-401.737	342.023	39.594	-247.001	406.998	30.826	-174.654	370.054	31.796	-166.258	148.952	833.335	31.418	210.431	462.016	68.559	224.935	68.093	28.467	278.259	31.523	167.668	199.252	59.739	235.258	207.751	92.289
154	1.53000	-109.120	329.022	1607.623	-139.141	498.431	1337.468	-62.450	599.649	1043.864	145.077	614.804	928.038	-174.292	195.094	1339.228	-233.042	116.031	1024.273	-170.646	57.593	803.863	-135.142	509.049	821.053	-214.512	431.354	444.139	-344.793	386.805	68.131	-401.598	342.111	41.829	-246.566	407.874	31.095	-175.037	370.152	31.613	-152.460	147.643	831.600	41.622	211.653	459.666	98.985	225.216	69.894	59.136	277.775	31.318	199.326	202.513	65.642	265.540	213.159	101.368
155	1.54000	-97.508	328.243	1605.753	-127.283	497.703	1336.399	-45.227	599.669	1044.602	166.026	614.020	937.067	-163.250	194.987	1337.313	-225.394	116.419	1023.683	-166.999	56.941	802.228	-126.520	508.887	819.778	-209.569	431.744	444.188	-344.372	387.207	69.158	-401.642	342.212	44.935	-246.797	407.844	30.756	-175.188	369.951	32.061	-139.515	146.833	829.796	52.308	212.877	458.212	125.980	225.924	72.106	86.808	277.270	31.481	227.761	206.167	71.826	292.038	218.743	109.419
156	1.55000	-85.685	327.554	1603.749	-115.499	497.541	1335.088	-28.006	599.939	1045.846	187.302	613.454	946.249	-153.904	194.144	1337.013	-216.967	116.683	1022.826	-162.577	56.493	800.208	-116.760	507.738	819.036	-203.638	431.882	443.849	-343.657	388.180	71.160	-401.028	343.153	46.845	-246.741	408.183	30.690	-175.032	370.108	31.636	-125.957	145.389	827.720	62.741	213.608	456.349	149.328	226.489	75.385	110.962	276.882	32.576	252.314	209.678	77.227	315.668	223.931	116.784
157	1.56000	-74.048	326.769	1601.806	-103.582	496.933	1333.352	-11.925	599.985	1046.367	206.838	612.633	954.691	-142.467	194.640	1334.648	-208.488	116.563	1021.671	-158.142	55.598	798.653	-106.941	506.946	818.157	-197.196	432.012	443.524	-342.930	389.175	73.313	-400.613	344.329	49.428	-246.150	408.541	30.373	-175.193	369.741	32.119	-113.881	144.894	826.285	73.406	214.342	455.234	170.498	227.314	77.453	132.579	277.121	33.314	274.390	213.299	81.420	335.932	228.936	122.377
158	1.57000	-62.617	325.894	1600.284	-92.635	496.595	1331.587	3.941	599.979	1047.359	225.382	611.055	962.204	-131.783	194.367	1334.189	-200.054	116.746	1020.827	-152.676	54.993	796.556	-97.136	506.042	817.280	-190.916	432.728	443.406	-342.308	389.668	75.848	-400.618	345.434	52.580	-245.692	408.930	30.136	-175.257	369.978	31.105	-100.625	144.103	825.688	84.528	215.252	454.546	189.163	230.497	76.460	149.903	278.645	32.152	292.176	216.950	83.633	353.668	233.277	125.453
159	1.58000	-50.966	325.175	1598.805	-81.391	496.177	1330.496	19.420	599.813	1047.367	243.056	610.028	969.857	-120.430	194.231	1331.958	-190.982	116.716	1019.664	-147.227	54.417	795.188	-86.310	505.127	816.270	-182.924	432.961	443.079	-341.337	390.775	77.712	-400.063	346.904	55.601	-245.505	409.406	30.138	-174.957	370.108	31.212	-87.265	143.114	824.745	95.792	216.102	453.926	201.276	231.564	78.350	163.791	280.631	32.740	306.560	220.561	83.492	367.248	237.684	125.263
160	1.59000	-39.341	324.450	1597.307	-69.846	495.780	1329.450	34.653	599.300	1048.717	260.088	608.222	977.464	-109.085	194.354	1330.140	-182.079	116.512	1018.563	-141.584	53.475	793.803	-75.158	504.303	815.443	-174.203	432.795	442.878	-340.201	392.135	79.942	-399.258	348.390	58.805	-245.252	409.747	30.132	-174.872	369.687	31.873	-73.977	142.469	824.285	107.999	216.852	452.692	213.087	234.536	75.682	173.591	282.893	31.834	317.813	224.059	81.145	377.990	241.326	122.090
161	1.60000	-27.972	323.680	1596.122	-58.770	495.398	1328.541	48.669	598.703	1048.830	275.970	606.237	984.475	-98.537	193.589	1328.646	-172.472	116.250	1017.493	-135.314	52.830	792.748	-63.677	503.461	814.168	-165.240	432.570	443.502	-338.996	392.990	82.039	-398.417	349.312	64.093	-243.953	410.025	30.360	-174.765	369.433	31.949	-60.927	141.680	824.056	118.984	218.212	451.349	220.588	236.490	72.267	180.095	284.628	29.416	325.282	227.219	76.788	386.168	245.139	117.589
162	1.61000	-16.605	323.125	1595.094	-47.507	494.953	1327.442	62.714	598.045	1049.316	290.926	603.964	991.305	-86.601	193.218	1327.377	-162.693	115.881	1016.678	-127.902	52.413	791.352	-52.120	502.303	812.575	-155.380	432.116	442.657	-337.100	393.953	86.048	-397.005	351.043	67.436	-243.370	410.297	30.406	-174.878	369.255	31.773	-47.099	140.739	823.656	131.541	219.261	450.598	224.313	237.871	69.638	183.571	285.611	26.345	329.871	229.941	70.993	391.038	248.859	110.931
163	1.62000	-5.183	322.618	1594.150	-36.157	494.355	1325.984	75.599	597.056	1049.820	305.165	601.664	997.411	-75.678	192.016	1326.996	-152.782	115.752	1016.066	-120.610	51.919	790.436	-39.636	501.034	811.448	-144.917	430.851	441.638	-334.780	395.119	89.539	-395.656	351.968	72.906	-242.568	410.267	30.349	-174.624	369.330	31.934	-33.347	139.963	823.587	143.916	220.660	449.302	226.650	238.978	64.808	183.403	286.211	23.070	331.968	232.597	63.876	393.273	251.673	102.616
