NO_OF_SAMPLES	636
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
FIRST_SAMPLE	2146
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2146	21.45000	-1.345984	-79.064001	329.882880	-28.821257	-7.468677	-3.640037	22.653706	-78.192729	0.000000	
2147	21.46000	-1.505602	-79.177811	330.325471	-28.793475	-7.432376	-3.695117	22.532879	-77.990612	0.000000	
2148	21.47000	-1.619029	-79.201421	330.414350	-28.847418	-7.451034	-3.708629	22.597188	-78.130140	0.000000	
2149	21.48000	-1.481627	-79.566797	330.946462	-28.910574	-7.451226	-3.745707	22.544327	-78.151411	0.000000	
2150	21.49000	-1.434128	-79.933092	331.742755	-29.027640	-7.524473	-3.759539	22.704828	-78.273202	0.000000	
2151	21.50000	-1.409709	-80.184623	333.072780	-29.072606	-7.515887	-3.759789	22.584799	-78.067203	0.000000	
2152	21.51000	-1.317475	-80.299626	334.051688	-29.163079	-7.480400	-3.759953	22.400723	-78.096926	0.000000	
2153	21.52000	-0.974398	-80.618788	335.382575	-29.181608	-7.453110	-3.733216	22.188311	-77.805831	0.000000	
2154	21.53000	-0.745477	-81.007049	335.914999	-29.245387	-7.453278	-3.729128	22.125721	-77.826317	0.000000	
2155	21.54000	-0.608186	-81.167638	336.809864	-29.327939	-7.300006	-3.720374	21.594907	-77.846761	0.000000	
2156	21.55000	-0.881313	-81.167535	337.076213	-29.247302	-7.209370	-3.688189	21.341743	-77.546479	0.000000	
2157	21.56000	-0.836810	-81.166980	337.259925	-29.203180	-7.027959	-3.697776	20.786779	-77.373784	0.000000	
2158	21.57000	-0.608304	-81.281069	338.151083	-29.213357	-6.928397	-3.652463	20.409720	-77.187739	0.000000	
2159	21.58000	-0.698364	-81.373268	339.042672	-29.250489	-6.811363	-3.620450	20.021245	-77.084701	0.000000	
2160	21.59000	-0.881245	-81.509235	339.400921	-29.116403	-6.593399	-3.607123	19.379635	-76.592588	0.000000	
2161	21.60000	-1.110268	-81.326928	338.878458	-29.055610	-6.330875	-3.556641	18.662512	-76.552270	0.000000	
