NO_OF_SAMPLES	636
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
FIRST_SAMPLE	2146
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2146	21.45000	7.218063	79.786981	235.420009	-8.639801	-35.173846	14.486917	147.746646	-50.656388	0.000000	
2147	21.46000	7.378128	79.695952	235.062599	-8.522116	-35.145589	14.509534	147.824410	-50.216675	0.000000	
2148	21.47000	7.628653	79.514807	234.525720	-8.358965	-35.162020	14.504420	148.190989	-49.604157	0.000000	
2149	21.48000	7.673849	79.173792	233.721527	-8.269082	-35.088008	14.485981	148.377947	-49.330483	0.000000	
2150	21.49000	7.971374	79.265110	234.168139	-8.141690	-35.050421	14.480647	147.882631	-48.708708	0.000000	
2151	21.50000	7.926128	79.514861	233.808258	-7.996029	-35.122711	14.535858	148.427866	-48.203007	0.000000	
2152	21.51000	7.701645	80.126455	234.251117	-7.731528	-35.231852	14.655765	148.650819	-47.088197	0.000000	
2153	21.52000	7.796927	80.624479	234.875778	-7.503587	-35.350430	14.820952	148.742899	-46.078529	0.000000	
2154	21.53000	7.823106	81.372631	234.962261	-7.203197	-35.340972	14.986084	148.643267	-44.911023	0.000000	
2155	21.54000	7.686822	81.803661	234.333700	-7.030578	-35.285884	15.059718	148.831393	-44.367718	0.000000	
2156	21.55000	7.687250	81.871233	233.617512	-6.876465	-35.294294	15.124029	149.324907	-43.854569	0.000000	
2157	21.56000	7.641977	81.666034	232.991554	-6.768366	-35.156717	15.110306	149.144562	-43.472129	0.000000	
2158	21.57000	7.595098	81.188539	232.189825	-6.878809	-34.983886	15.069072	148.924785	-44.014135	0.000000	
2159	21.58000	7.477059	80.349150	231.029430	-7.053214	-34.746122	14.871793	148.666314	-44.842515	0.000000	
2160	21.59000	7.131990	79.258239	230.050399	-7.373370	-34.510027	14.698136	148.334759	-46.233207	0.000000	
2161	21.60000	6.992681	78.327136	230.055247	-7.747166	-34.356254	14.519435	147.687506	-47.694624	0.000000	
2162	21.61000	6.761977	77.964279	229.519577	-7.929745	-34.183392	14.391252	147.320390	-48.537145	0.000000	
2163	21.62000	6.622368	77.442567	228.984695	-8.121439	-34.074157	14.262968	147.212948	-49.395400	0.000000	
2164	21.63000	6.711038	77.284916	228.449040	-8.212903	-33.937107	14.184548	146.943649	-49.883063	0.000000	
2165	21.64000	6.710671	76.784582	227.914734	-8.241267	-33.845707	14.147888	146.888181	-50.035519	0.000000	
2166	21.65000	6.935763	76.399667	226.575221	-8.242591	-33.707789	14.096792	147.110560	-50.266895	0.000000	
2167	21.66000	7.275833	75.787119	225.684952	-8.298530	-33.597622	14.050155	147.143958	-50.602717	0.000000	
2168	21.67000	7.477730	75.015956	224.436431	-8.391244	-33.386846	13.925668	146.989674	-51.157444	0.000000	
2169	21.68000	7.724553	74.131216	222.742090	-8.511806	-33.094109	13.801042	146.752360	-51.925736	0.000000	
2170	21.69000	7.880893	73.496047	221.314882	-8.613675	-32.856471	13.713353	146.599412	-52.603412	0.000000	
2171	21.70000	8.012293	72.521299	219.619360	-8.788616	-32.563416	13.506287	146.376146	-53.625223	0.000000	
2172	21.71000	8.052457	71.318683	217.387900	-8.937023	-32.206346	13.294862	146.233146	-54.632700	0.000000	
2173	21.72000	8.068752	69.843783	214.978621	-9.167561	-31.831079	13.033014	146.128184	-56.038029	0.000000	
2174	21.73000	8.155239	68.504716	213.194730	-9.325049	-31.455660	12.789364	145.577314	-56.990586	0.000000	
2175	21.74000	8.173938	67.005972	211.321534	-9.446393	-31.107406	12.550553	145.220038	-57.782197	0.000000	
2176	21.75000	8.283491	65.689057	208.553041	-9.404694	-30.666997	12.357325	145.020715	-58.091161	0.000000	
2177	21.76000	8.391596	64.213884	205.067787	-9.272703	-30.133941	12.095117	144.872201	-58.140074	0.000000	
2178	21.77000	8.475809	62.602705	200.866631	-9.086616	-29.600110	11.819200	145.236791	-58.100320	0.000000	
2179	21.78000	8.446780	60.695143	196.487343	-8.874010	-28.965810	11.516009	145.261168	-57.915683	0.000000	
2180	21.79000	8.508773	58.401313	191.571933	-8.562434	-28.211596	11.157495	145.049439	-57.285628	0.000000	
2181	21.80000	8.524163	55.903002	186.210771	-8.324076	-27.421229	10.785333	144.990172	-57.106215	0.000000	
2182	21.81000	8.332575	53.041690	180.312017	-8.104456	-26.566181	10.298810	145.048122	-57.107921	0.000000	
2183	21.82000	8.093542	49.544497	173.430814	-7.895388	-25.545923	9.702170	144.992835	-57.344943	0.000000	
2184	21.83000	7.488613	45.501004	164.849200	-7.524661	-24.295982	9.019036	145.128196	-57.078394	0.000000	
2185	21.84000	6.882086	40.958289	155.462555	-7.091565	-22.852838	8.207224	144.790606	-56.544715	0.000000	
2186	21.85000	6.137941	36.415256	145.450352	-6.695142	-21.410226	7.427883	145.074192	-56.433558	0.000000	
2187	21.86000	5.464068	32.484937	136.064087	-6.289016	-19.914198	6.753845	144.315533	-56.157992	0.000000	
2188	21.87000	4.880669	28.851306	127.123168	-5.891051	-18.499975	6.061163	143.555362	-55.805065	0.000000	
