X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.550000	2.560655e-06	1.777019e-05	2.981410e-06	2.406263e-06	
21.551000	2.544324e-06	1.748463e-05	2.982912e-06	2.387740e-06	
21.552001	2.528706e-06	1.721584e-05	2.985091e-06	2.369409e-06	
21.553001	2.513869e-06	1.696467e-05	2.987963e-06	2.351309e-06	
21.554001	2.499883e-06	1.673196e-05	2.991547e-06	2.333479e-06	
21.555002	2.486816e-06	1.651857e-05	2.995860e-06	2.315957e-06	
21.556002	2.474737e-06	1.632535e-05	3.000921e-06	2.298783e-06	
21.557002	2.463714e-06	1.615312e-05	3.006747e-06	2.281994e-06	
21.558003	2.453816e-06	1.600275e-05	3.013355e-06	2.265630e-06	
21.559003	2.445112e-06	1.587508e-05	3.020764e-06	2.249730e-06	
21.560003	2.437670e-06	1.577096e-05	3.028991e-06	2.234331e-06	
21.561004	2.431559e-06	1.569123e-05	3.038054e-06	2.219474e-06	
21.562004	2.426847e-06	1.563674e-05	3.047971e-06	2.205197e-06	
21.563004	2.423604e-06	1.560834e-05	3.058760e-06	2.191538e-06	
21.564005	2.421897e-06	1.560687e-05	3.070437e-06	2.178536e-06	
21.565005	2.421796e-06	1.563318e-05	3.083022e-06	2.166231e-06	
21.566005	2.423369e-06	1.568811e-05	3.096532e-06	2.154660e-06	
21.567006	2.426685e-06	1.577252e-05	3.110984e-06	2.143863e-06	
21.568006	2.431812e-06	1.588724e-05	3.126397e-06	2.133879e-06	
21.569006	2.438820e-06	1.603314e-05	3.142788e-06	2.124746e-06	
21.570007	2.447776e-06	1.621104e-05	3.160175e-06	2.116502e-06	
21.571007	2.458749e-06	1.642180e-05	3.178575e-06	2.109188e-06	
21.572007	2.471808e-06	1.666627e-05	3.198007e-06	2.102841e-06	
21.573007	2.487022e-06	1.694530e-05	3.218487e-06	2.097500e-06	
21.574008	2.504459e-06	1.725972e-05	3.240035e-06	2.093204e-06	
21.575008	2.524184e-06	1.761033e-05	3.262666e-06	2.089991e-06	
21.576008	2.546186e-06	1.799672e-05	3.286356e-06	2.087860e-06	
21.577009	2.570378e-06	1.841730e-05	3.311041e-06	2.086777e-06	
21.578009	2.596668e-06	1.887041e-05	3.336657e-06	2.086705e-06	
