X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
1.620000	7.395693e-06	5.041983e-05	3.706302e-06	7.508779e-06	
1.621001	7.637980e-06	5.034572e-05	3.748252e-06	7.492007e-06	
1.622002	7.894882e-06	5.029001e-05	3.791823e-06	7.488525e-06	
1.623003	8.166642e-06	5.025362e-05	3.837031e-06	7.498869e-06	
1.624004	8.453502e-06	5.023748e-05	3.883895e-06	7.523574e-06	
1.625005	8.755695e-06	5.024247e-05	3.932430e-06	7.563161e-06	
1.626006	9.073102e-06	5.026861e-05	3.982604e-06	7.617633e-06	
1.627007	9.405197e-06	5.031489e-05	4.034329e-06	7.686391e-06	
1.628008	9.751427e-06	5.038022e-05	4.087513e-06	7.768800e-06	
1.629008	1.011124e-05	5.046352e-05	4.142065e-06	7.864227e-06	
1.630009	1.048410e-05	5.056374e-05	4.197892e-06	7.972037e-06	
1.631010	1.086943e-05	5.067979e-05	4.254905e-06	8.091596e-06	
1.632011	1.126670e-05	5.081059e-05	4.313010e-06	8.222271e-06	
1.633012	1.167536e-05	5.095507e-05	4.372117e-06	8.363428e-06	
1.634013	1.209484e-05	5.111215e-05	4.432135e-06	8.514432e-06	
1.635014	1.252461e-05	5.128076e-05	4.492970e-06	8.674650e-06	
1.636015	1.296412e-05	5.145983e-05	4.554533e-06	8.843447e-06	
1.637016	1.341280e-05	5.164828e-05	4.616730e-06	9.020190e-06	
1.638017	1.387011e-05	5.184503e-05	4.679472e-06	9.204244e-06	
1.639018	1.433550e-05	5.204900e-05	4.742666e-06	9.394976e-06	
1.640019	1.480843e-05	5.225913e-05	4.806221e-06	9.591752e-06	
1.641020	1.528833e-05	5.247434e-05	4.870045e-06	9.793937e-06	
1.642021	1.577465e-05	5.269355e-05	4.934047e-06	1.000090e-05	
1.643022	1.626686e-05	5.291568e-05	4.998135e-06	1.021200e-05	
1.644023	1.676439e-05	5.313967e-05	5.062218e-06	1.042661e-05	
1.645024	1.726670e-05	5.336444e-05	5.126204e-06	1.064410e-05	
1.646025	1.777324e-05	5.358890e-05	5.190001e-06	1.086382e-05	
1.647025	1.828345e-05	5.381199e-05	5.253519e-06	1.108515e-05	
1.648026	1.879678e-05	5.403263e-05	5.316665e-06	1.130745e-05	
1.649027	1.931269e-05	5.424975e-05	5.379348e-06	1.153009e-05	
1.650028	1.983063e-05	5.446226e-05	5.441476e-06	1.175244e-05	
1.651029	2.035003e-05	5.466910e-05	5.502958e-06	1.197385e-05	
1.652030	2.087036e-05	5.486919e-05	5.563703e-06	1.219370e-05	
1.653031	2.139106e-05	5.506145e-05	5.623619e-06	1.241135e-05	
1.654032	2.191158e-05	5.524481e-05	5.682614e-06	1.262617e-05	
1.655033	2.243137e-05	5.541820e-05	5.740596e-06	1.283752e-05	
1.656034	2.294988e-05	5.558053e-05	5.797475e-06	1.304478e-05	
1.657035	2.346655e-05	5.573073e-05	5.853159e-06	1.324730e-05	
1.658036	2.398085e-05	5.586774e-05	5.907556e-06	1.344445e-05	
1.659037	2.449222e-05	5.599046e-05	5.960574e-06	1.363560e-05	
1.660038	2.500010e-05	5.609783e-05	6.012123e-06	1.382011e-05	
1.661039	2.550395e-05	5.618877e-05	6.062110e-06	1.399736e-05	
1.662040	2.600322e-05	5.626221e-05	6.110444e-06	1.416670e-05	
1.663041	2.649735e-05	5.631707e-05	6.157034e-06	1.432750e-05	
