X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
1.620000	-1.036218e-05	4.919077e-05	5.896045e-07	1.982032e-06	
1.621001	-7.460164e-06	2.684641e-05	5.871274e-07	2.968379e-06	
1.622002	1.094458e-06	-1.418059e-05	1.148313e-06	3.767620e-06	
1.623003	6.046109e-06	-4.034706e-05	9.579058e-07	6.479626e-06	
1.624004	8.461495e-06	-8.823473e-05	1.249402e-06	4.545051e-06	
1.625005	1.529385e-05	-8.776114e-05	3.028245e-06	4.324034e-06	
1.626006	1.262069e-05	-3.114812e-05	9.918436e-07	8.083539e-06	
1.627007	4.032645e-06	-3.445362e-05	-1.133662e-06	4.548421e-06	
1.628008	2.536465e-06	-4.105413e-05	-1.073902e-06	-3.220049e-07	
1.629008	3.612257e-06	-5.673358e-06	-1.021929e-08	-2.029543e-06	
1.630009	1.160596e-06	3.767207e-05	2.235452e-06	-8.950250e-06	
1.631010	-4.737728e-07	8.637448e-05	-1.817713e-06	-1.197525e-05	
1.632011	3.494847e-06	6.851112e-05	-2.101376e-06	-7.791154e-06	
1.633012	8.949169e-06	2.549811e-05	7.999519e-06	-2.586676e-06	
1.634013	1.448859e-05	2.305307e-05	1.199655e-05	3.124420e-06	
1.635014	1.608899e-05	1.662669e-05	9.164990e-06	-5.177805e-06	
1.636015	1.347017e-05	-1.307481e-05	4.578046e-06	-2.161290e-05	
1.637016	1.179905e-05	-5.786761e-05	1.896049e-06	-1.762126e-05	
1.638017	6.434770e-06	-3.072060e-05	1.403912e-06	-1.513128e-06	
1.639018	7.377391e-07	2.912403e-05	-1.265216e-06	5.757513e-06	
1.640019	-3.065370e-06	-3.015096e-06	-4.400921e-07	8.367270e-06	
1.641020	-8.538591e-06	-2.252460e-05	-1.592731e-06	1.164168e-05	
1.642021	-9.410698e-06	3.643261e-05	-7.062920e-06	1.201328e-05	
1.643022	-6.799768e-06	7.156958e-05	-7.691696e-06	8.295947e-06	
1.644023	-6.414323e-06	5.594523e-05	-5.203251e-06	6.149568e-06	
1.645024	-5.445261e-06	4.764461e-05	-2.121387e-06	8.362824e-06	
1.646025	1.419362e-06	1.702298e-05	-2.297641e-06	9.683964e-06	
1.647025	5.697262e-06	-7.420743e-05	-4.264606e-06	5.937414e-06	
1.648026	-9.297946e-07	-1.164809e-04	-2.543383e-07	-2.204812e-06	
1.649027	-4.576676e-06	-1.108371e-04	4.292145e-06	-3.220701e-06	
1.650028	-4.039671e-06	-1.315771e-04	3.630242e-06	4.347765e-07	
1.651029	-6.863599e-06	-1.082542e-04	2.873528e-06	-5.854359e-06	
1.652030	-4.442584e-06	-2.366630e-05	3.489602e-06	-6.998518e-06	
1.653031	4.801275e-06	9.144994e-05	2.911154e-06	-7.392489e-06	
1.654032	8.575527e-06	1.532402e-04	3.344379e-07	-2.052951e-05	
1.655033	1.324654e-06	8.849984e-05	-2.151236e-06	-1.690884e-05	
1.656034	-1.554896e-06	3.113225e-05	1.379792e-06	6.493813e-08	
1.657035	1.519744e-06	3.745478e-05	4.426081e-06	3.315401e-06	
1.658036	-4.597503e-07	5.191873e-05	1.048789e-06	-1.437813e-06	
1.659037	2.178054e-06	6.987841e-05	-8.255393e-07	-5.057982e-06	
1.660038	5.045625e-06	4.655990e-05	-2.161335e-06	-3.410600e-06	
1.661039	4.138535e-06	-1.221070e-05	-2.128101e-06	2.010368e-06	
1.662040	1.040841e-05	-3.390679e-05	-2.727629e-06	5.983960e-06	
1.663041	1.558157e-05	4.839675e-07	-9.023658e-06	9.250663e-06	
1.664042	2.185174e-05	9.905723e-06	-1.035618e-05	1.081168e-05	
1.665042	2.463577e-05	-3.210414e-05	-1.029773e-05	4.172862e-06	
1.666043	5.805784e-06	-2.941005e-05	-1.426790e-05	1.202999e-07	
1.667044	-9.313196e-06	-9.845201e-06	-1.230207e-05	9.921802e-06	
1.668045	-1.016639e-05	-2.969253e-05	-4.486005e-06	1.945548e-05	
1.669046	-2.016903e-05	-4.156980e-05	6.205852e-06	2.818374e-05	
