NO_OF_SAMPLES	581
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
FIRST_SAMPLE	379
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
379	3.78000	0.987477	0.925681	3.716425	0.293557	0.389187	0.041183	0.000000	0.000000	0.000000	
380	3.79000	0.942380	1.016956	3.627959	0.293701	0.370956	0.041213	0.000000	0.000000	0.000000	
381	3.80000	0.852508	0.971533	3.889988	0.302732	0.361792	0.041081	0.000000	0.000000	0.000000	
382	3.81000	0.961946	0.949854	3.103524	0.302783	0.370974	0.064239	0.000000	0.000000	0.000000	
383	3.82000	1.080788	1.037970	4.066357	0.311759	0.398485	0.032078	0.000000	0.000000	0.000000	
384	3.83000	0.851357	0.948931	3.714978	0.302593	0.379966	0.054976	0.000000	0.000000	0.000000	
385	3.84000	0.965075	0.857582	3.892188	0.320720	0.361821	0.059370	0.000000	0.000000	0.000000	
386	3.85000	1.054344	0.858072	3.542172	0.311978	0.380344	0.031887	0.000000	0.000000	0.000000	
387	3.86000	0.896578	0.948614	3.713516	0.357272	0.435200	0.045996	0.000000	0.000000	0.000000	
388	3.87000	0.897386	0.925126	3.890822	0.256846	0.416154	0.045889	0.000000	0.000000	0.000000	
389	3.88000	0.919358	0.948514	3.715262	0.320729	0.398340	0.059655	0.000000	0.000000	0.000000	
390	3.89000	0.964214	0.949302	3.540470	0.321187	0.371260	0.031941	0.000000	0.000000	0.000000	
391	3.90000	0.895723	0.949009	3.538683	0.357280	0.426049	0.055191	0.000000	0.000000	0.000000	
392	3.91000	0.942171	0.971945	3.628229	0.302965	0.352851	0.031875	0.000000	0.000000	0.000000	
393	3.92000	0.895393	0.949098	3.451516	0.320912	0.425869	0.046007	0.000000	0.000000	0.000000	
394	3.93000	0.918766	0.949328	3.540688	0.302820	0.361871	0.045716	0.000000	0.000000	0.000000	
395	3.94000	0.965977	1.084652	3.714681	0.302856	0.389337	0.032143	0.000000	0.000000	0.000000	
