NO_OF_SAMPLES	127
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
FIRST_SAMPLE	153
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
153	1.52000	1.297062	-0.104907	2.378889	0.194030	0.496862	0.127763	0.000000	0.000000	0.000000	
154	1.53000	1.227767	-0.013792	2.020795	0.175791	0.514938	0.132455	0.000000	0.000000	0.000000	
155	1.54000	1.228758	0.008760	2.466947	0.230586	0.506221	0.114084	0.000000	0.000000	0.000000	
156	1.55000	1.364667	-0.013264	2.288821	0.203265	0.497213	0.113772	0.000000	0.000000	0.000000	
157	1.56000	1.343471	-0.013992	2.914883	0.212544	0.506080	0.113843	0.000000	0.000000	0.000000	
158	1.57000	1.274129	-0.013789	2.467481	0.203341	0.487853	0.118596	0.000000	0.000000	0.000000	
159	1.58000	1.251210	0.031625	2.377934	0.203302	0.506009	0.123211	0.000000	0.000000	0.000000	
160	1.59000	1.296553	0.054650	2.288140	0.230576	0.506352	0.118496	0.000000	0.000000	0.000000	
161	1.60000	1.228456	-0.081925	2.377338	0.239666	0.470063	0.100355	0.000000	0.000000	0.000000	
162	1.61000	1.274096	0.054337	2.467688	0.185154	0.514934	0.127742	0.000000	0.000000	0.000000	
163	1.62000	1.274712	-0.014108	2.646590	0.203375	0.487682	0.127797	0.000000	0.000000	0.000000	
164	1.63000	3.053319	-4.636688	12.159926	-0.452773	0.118458	0.052631	-20.250525	-22.287769	0.000000	
165	1.64000	8.508550	-52.987674	277.262876	-15.711838	-9.411827	-1.503805	32.282142	-49.353638	0.000000	
166	1.65000	16.002778	-8.645597	205.950079	-9.606060	-7.528795	0.529398	33.006260	-45.313556	0.000000	
167	1.66000	14.131395	44.004427	262.878400	-9.407185	-9.675502	2.488275	34.216846	-42.858790	0.000000	
168	1.67000	11.245726	63.512882	281.648772	-8.572111	-10.169053	2.993899	34.071242	-39.840985	0.000000	
169	1.68000	5.698259	32.984662	329.531601	-11.189535	-11.428256	1.418024	33.554543	-38.328514	0.000000	
170	1.69000	-3.974288	45.685032	347.585268	-9.802571	-11.140429	1.454513	32.077993	-33.832287	0.000000	
171	1.70000	-14.180277	64.153338	370.800497	-7.552667	-10.973808	2.064852	30.697853	-27.667507	0.000000	
172	1.71000	-25.424980	63.957734	414.761869	-6.500386	-11.329177	2.042966	29.343194	-22.216668	0.000000	
173	1.72000	-29.085850	68.091656	437.253732	-5.113354	-11.487643	1.899315	28.510014	-18.299435	0.000000	
174	1.73000	-30.383071	67.845403	456.551987	-4.041580	-11.823330	1.545037	28.135952	-15.171770	0.000000	
175	1.74000	-30.911695	64.612564	480.167070	-3.317738	-12.400651	1.369814	27.977477	-12.665418	0.000000	
176	1.75000	-27.554255	60.643737	500.488875	-2.514190	-13.098418	1.263877	27.948901	-10.241823	0.000000	
