NO_OF_SAMPLES	127
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
FIRST_SAMPLE	153
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
153	1.52000	0.806015	1.086277	3.448440	0.312583	0.417168	-0.018337	0.000000	0.000000	0.000000	
154	1.53000	0.830801	1.107564	3.887686	0.302927	0.398466	0.018369	0.000000	0.000000	0.000000	
155	1.54000	0.854002	1.107829	3.974472	0.357823	0.389857	0.004491	0.000000	0.000000	0.000000	
156	1.55000	0.853269	1.062670	3.887606	0.348695	0.380647	0.009022	0.000000	0.000000	0.000000	
157	1.56000	0.898352	1.039105	3.887536	0.321193	0.444381	0.000079	0.000000	0.000000	0.000000	
158	1.57000	0.830774	1.039494	3.975413	0.312083	0.398579	0.009074	0.000000	0.000000	0.000000	
159	1.58000	0.920460	1.040010	3.713404	0.321494	0.389743	-0.004738	0.000000	0.000000	0.000000	
160	1.59000	0.896357	1.040156	3.451334	0.284830	0.398461	0.018370	0.000000	0.000000	0.000000	
161	1.60000	0.965032	1.062632	3.539415	0.321257	0.380431	0.027498	0.000000	0.000000	0.000000	
162	1.61000	0.920504	1.108144	3.625185	0.321534	0.398894	-0.004612	0.000000	0.000000	0.000000	
163	1.62000	0.943580	1.107864	3.713953	0.321330	0.371334	0.018271	0.000000	0.000000	0.000000	
164	1.63000	0.943546	1.107773	3.713807	0.321301	0.380456	0.018311	0.000000	0.000000	0.000000	
165	1.64000	0.897718	1.108129	3.625456	0.321368	0.389615	0.013762	0.000000	0.000000	0.000000	
166	1.65000	0.897848	1.062428	3.713486	0.293998	0.398577	0.004540	0.000000	0.000000	0.000000	
167	1.66000	0.922270	1.152166	3.974911	0.321130	0.435186	0.009353	0.000000	0.000000	0.000000	
168	1.67000	0.828775	1.108826	3.449501	0.321456	0.389629	0.013789	0.000000	0.000000	0.000000	
169	1.68000	0.968289	1.152234	4.063409	0.321300	0.398773	-0.000029	0.000000	0.000000	0.000000	
170	1.69000	0.852967	1.061761	3.887577	0.320941	0.435021	0.027684	0.000000	0.000000	0.000000	
171	1.70000	0.898696	0.948327	4.065126	0.293749	0.380161	0.013491	0.000000	0.000000	0.000000	
172	1.71000	0.919229	1.018573	3.452112	0.330813	0.316794	0.008765	0.000000	0.000000	0.000000	
173	1.72000	0.853381	1.039164	3.975479	0.311972	0.416795	0.013758	0.000000	0.000000	0.000000	
174	1.73000	0.897017	0.971693	3.714008	0.330217	0.398658	0.027452	0.000000	0.000000	0.000000	
175	1.74000	0.921431	1.062268	3.888752	0.321354	0.380507	0.004425	0.000000	0.000000	0.000000	
176	1.75000	0.987777	1.040084	3.540202	0.294121	0.362137	0.008986	0.000000	0.000000	0.000000	
177	1.76000	0.899631	1.084348	4.063458	0.312054	0.398593	0.009108	0.000000	0.000000	0.000000	
178	1.77000	0.831486	1.084454	4.062438	0.302928	0.416773	0.004587	0.000000	0.000000	0.000000	
179	1.78000	0.853331	1.084712	3.887625	0.302954	0.416790	0.009218	0.000000	0.000000	0.000000	
180	1.79000	0.965705	0.925945	3.888563	0.366875	0.426537	-0.004737	0.000000	0.000000	0.000000	
181	1.80000	0.851260	1.017840	3.537658	0.321444	0.398802	0.004512	0.000000	0.000000	0.000000	
182	1.81000	0.828148	1.018087	3.449964	0.312360	0.398745	0.004528	0.000000	0.000000	0.000000	
183	1.82000	0.943718	0.948386	3.977966	0.293832	0.380240	0.008901	0.000000	0.000000	0.000000	
