X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.550000	5.548297e-07	-2.198166e-05	7.789503e-06	-1.065578e-06	
21.551000	-4.883331e-07	-2.346010e-05	5.893164e-06	-4.033841e-08	
21.552001	2.463878e-07	-2.264536e-06	5.465474e-06	-1.793537e-06	
21.553001	5.637540e-07	3.095560e-06	5.048572e-06	-2.158516e-06	
21.554001	2.055505e-06	-1.889485e-05	5.465404e-06	-2.146821e-06	
21.555002	4.010684e-06	-3.082840e-05	3.621715e-06	-1.443095e-06	
21.556002	6.722624e-07	-4.204192e-05	1.113791e-06	1.152151e-06	
21.557002	-3.274041e-06	-4.354287e-05	3.149570e-06	-8.838140e-07	
21.558003	-2.520572e-06	-6.147375e-06	4.309287e-06	-3.318810e-06	
21.559003	4.305319e-07	3.453496e-05	4.964290e-06	-8.567811e-07	
21.560003	1.599110e-06	4.131438e-05	3.548974e-06	-3.958549e-07	
21.561004	1.627411e-06	2.943956e-05	-1.028821e-06	1.747013e-07	
21.562004	3.934473e-07	1.893170e-05	-2.248608e-06	2.243804e-06	
21.563004	-1.131654e-06	8.242270e-06	-2.424485e-06	1.024807e-06	
21.564005	-2.586447e-07	6.565270e-08	-3.406277e-06	6.473041e-07	
21.565005	-1.497492e-06	-9.295271e-06	-2.808877e-06	4.830215e-07	
21.566005	-4.014355e-06	-1.777498e-05	-2.730937e-06	-2.312509e-06	
21.567006	-3.630006e-06	-8.109600e-06	-5.006857e-06	-1.213615e-06	
21.568006	-3.412013e-06	6.352712e-06	-6.292372e-06	3.093229e-06	
21.569006	-2.842362e-06	1.236526e-05	-2.748791e-06	2.310367e-06	
21.570007	1.357647e-07	1.131683e-05	-1.536515e-06	1.234396e-06	
21.571007	2.385444e-06	6.975170e-06	-3.042676e-06	2.482518e-06	
21.572007	3.017965e-06	7.011393e-06	1.188557e-07	1.550049e-06	
21.573007	1.487294e-06	8.591970e-06	9.474616e-07	2.099579e-06	
21.574008	-3.274707e-08	8.103777e-06	-7.201383e-08	-5.041197e-07	
21.575008	2.395485e-06	-5.162471e-07	2.652518e-06	-3.837188e-06	
21.576008	2.408717e-06	3.617128e-06	2.582737e-06	3.776301e-07	
21.577009	9.565485e-07	1.817984e-05	-7.532579e-07	1.522602e-06	
21.578009	9.600782e-07	1.856576e-06	-3.011862e-06	-1.021199e-06	
21.579009	-2.971246e-06	-1.162742e-05	-1.689367e-06	2.620844e-07	
21.580010	-3.887061e-06	-1.692374e-05	5.363911e-07	1.139348e-06	
21.581010	-1.309910e-06	-3.304400e-05	-1.407678e-06	-3.472334e-07	
21.582010	-1.075255e-06	-9.747582e-06	-1.596176e-06	-1.173995e-06	
21.583011	1.030698e-06	9.633222e-06	1.570243e-07	-5.999685e-07	
21.584011	2.896717e-06	6.271398e-07	-1.769558e-06	-7.483372e-07	
21.585011	3.510258e-06	1.834203e-05	-1.540268e-06	-1.494928e-06	
21.586012	5.232285e-06	1.618351e-05	6.101886e-07	-1.925191e-06	
21.587012	3.253664e-06	-1.297195e-05	-1.022306e-06	-1.829505e-06	
21.588012	-2.460794e-06	-1.438397e-05	-1.792222e-06	-8.328360e-08	
21.589013	-4.575131e-06	8.171276e-06	2.547069e-07	6.972558e-07	
21.590013	-4.919577e-06	1.908499e-05	9.764669e-07	-1.496653e-06	
21.591013	-4.853491e-06	-1.583382e-07	1.674900e-06	-2.982601e-06	
21.592014	-3.609310e-07	-4.098557e-06	2.040742e-06	-1.423358e-06	
21.593014	1.756751e-07	6.132311e-06	8.115229e-07	-9.814956e-07	
21.594014	-1.647611e-07	-8.402832e-06	2.259545e-06	-1.310592e-06	
21.595015	2.343504e-06	-1.469881e-05	5.219327e-06	3.387307e-06	
21.596015	-1.749611e-06	1.196087e-07	6.149746e-06	7.662460e-06	
21.597015	-1.949053e-06	-1.353890e-06	4.533780e-06	4.887177e-06	
21.598016	5.896233e-07	-9.581136e-06	1.756420e-06	-2.273350e-07	
21.599016	-3.861535e-06	-4.520156e-06	5.349872e-07	-1.979938e-06	
21.600016	-5.373681e-06	-1.972046e-05	1.266738e-07	8.920163e-07	
21.601017	-4.741528e-07	-2.404134e-05	4.093384e-06	3.470162e-06	
21.602017	7.509832e-06	4.657847e-06	8.242790e-06	-3.607057e-07	
