NO_OF_FRAMES	581
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
379	3.78000	310.752	303.713	1623.204	250.729	457.737	1343.044	234.245	514.630	1021.969	297.861	621.763	822.856	260.594	145.256	1351.563	260.210	55.887	1033.318	349.574	-60.686	850.685	292.703	463.580	826.646	244.614	397.117	443.522	205.696	359.085	55.156	165.208	304.629	20.205	301.901	400.379	28.635	384.614	382.969	26.884	279.272	103.700	848.013	258.907	177.255	437.625	214.581	221.176	54.143	167.399	272.150	27.195	311.562	187.759	28.839	399.131	210.072	23.671
380	3.79000	310.815	303.828	1623.175	250.499	457.749	1342.960	234.037	514.641	1022.136	297.755	621.734	822.842	260.440	145.292	1351.356	260.095	55.899	1033.446	349.609	-60.785	850.602	292.552	463.555	826.642	244.663	397.056	443.607	205.426	359.275	55.277	165.419	304.580	20.012	301.951	400.303	28.501	384.636	383.093	27.059	279.224	103.633	847.864	258.908	177.259	437.732	214.567	221.148	53.867	167.533	272.198	26.765	311.726	187.807	28.934	399.142	210.240	23.690
381	3.80000	310.837	303.864	1623.174	250.422	457.864	1343.109	234.038	514.597	1021.981	297.743	621.611	822.965	260.819	144.950	1351.584	260.067	55.907	1033.546	349.297	-60.858	850.666	292.447	463.550	826.647	244.424	397.031	443.652	205.525	359.360	55.025	165.517	304.611	20.022	302.089	400.368	28.795	384.530	383.144	27.012	279.188	103.566	848.038	258.892	177.265	437.607	214.602	221.236	54.225	167.386	272.007	27.123	311.593	187.768	28.834	399.100	210.214	23.689
382	3.81000	310.780	303.937	1623.174	250.327	457.895	1343.112	233.983	514.604	1021.956	297.647	621.643	822.848	260.342	145.306	1351.777	259.977	55.858	1033.650	349.339	-60.803	850.805	292.183	463.573	826.665	244.541	397.066	443.597	205.690	359.331	55.179	165.194	304.585	20.208	302.150	400.370	28.621	384.615	383.139	26.874	279.055	103.609	847.976	258.875	177.158	437.690	214.365	221.078	54.108	167.370	272.084	26.927	311.553	187.756	28.764	399.096	210.286	23.718
383	3.82000	310.780	303.945	1623.192	250.359	457.874	1343.073	233.930	514.602	1021.925	297.450	621.644	822.938	260.317	145.213	1351.811	259.806	55.792	1033.709	349.213	-60.844	851.002	292.140	463.571	826.708	244.981	396.638	443.479	205.829	359.223	54.839	165.229	304.530	20.214	302.082	400.304	28.680	384.574	382.991	26.819	279.011	103.592	847.930	258.776	177.201	437.659	214.622	221.114	54.017	167.179	272.027	27.005	311.538	187.710	28.951	399.103	210.171	23.613
384	3.83000	310.625	304.037	1623.162	250.205	458.042	1342.981	233.769	514.581	1021.897	297.457	621.703	822.813	259.924	145.198	1351.988	259.681	55.733	1033.653	349.144	-60.904	850.968	291.937	463.565	826.742	244.345	397.027	443.742	205.730	359.212	54.823	165.248	304.546	20.406	301.871	400.433	28.735	384.645	382.910	26.648	278.908	103.576	847.900	258.714	177.300	437.620	214.352	221.116	54.185	167.378	272.112	26.888	311.482	187.819	28.882	398.959	210.056	23.462
385	3.84000	310.482	304.126	1623.199	250.096	457.947	1342.859	233.689	514.774	1021.953	297.319	621.577	822.952	260.136	145.054	1352.071	259.703	55.797	1033.667	348.940	-60.873	851.085	291.790	463.545	826.734	244.333	397.082	443.593	205.169	359.552	55.379	165.362	304.523	20.133	301.736	400.242	28.743	384.494	383.095	26.837	278.767	103.583	848.026	258.608	177.227	437.574	214.406	221.070	53.938	167.406	272.050	27.056	311.582	187.766	28.757	398.996	210.274	23.687
386	3.85000	310.379	304.179	1623.164	250.056	458.043	1343.064	233.660	514.782	1022.052	297.217	621.659	822.816	259.984	145.163	1352.175	259.538	55.715	1033.849	348.868	-60.996	851.068	291.761	463.586	826.706	244.431	397.064	443.635	205.404	359.344	55.070	165.197	304.435	20.309	302.118	400.473	28.836	384.573	383.225	27.087	278.784	103.587	847.970	258.689	177.343	437.497	214.441	221.094	54.039	167.454	272.109	27.267	311.677	187.829	28.807	399.107	210.305	23.540
387	3.86000	310.401	304.223	1623.156	249.992	457.947	1343.028	233.579	514.779	1022.073	297.080	621.639	822.826	259.891	145.239	1352.309	259.428	55.684	1033.894	348.765	-61.129	851.112	291.745	463.527	826.732	244.235	396.893	443.517	205.777	359.291	54.837	165.449	304.441	20.048	302.173	400.186	28.662	384.477	383.009	26.906	278.679	103.542	847.901	258.545	177.327	437.602	214.320	221.067	54.146	167.300	272.022	27.316	311.483	187.768	28.924	399.030	210.210	23.562
388	3.87000	310.327	304.311	1623.129	249.770	458.095	1343.047	233.421	514.855	1022.098	297.043	621.691	822.850	259.677	145.036	1352.415	259.457	55.706	1033.819	348.713	-60.929	851.026	291.648	463.521	826.732	244.330	396.878	443.501	205.605	359.354	55.005	165.483	304.453	20.155	302.164	400.239	28.679	384.536	383.181	26.870	278.505	103.550	847.992	258.562	177.292	437.679	214.414	221.098	53.960	167.147	272.141	27.158	311.503	187.834	28.925	399.066	210.256	23.573
389	3.88000	310.284	304.344	1623.135	249.750	458.170	1343.079	233.055	514.826	1022.144	296.827	621.510	822.891	259.453	145.207	1352.168	259.273	55.692	1033.956	348.659	-61.059	851.246	291.620	463.580	826.756	244.131	396.879	443.541	205.373	359.259	55.339	165.376	304.486	20.108	302.039	400.339	28.527	384.507	383.066	27.107	278.338	103.590	847.978	258.585	177.346	437.480	214.508	221.077	53.993	167.234	272.017	27.219	311.599	187.732	28.865	399.239	210.291	23.762
390	3.89000	310.118	304.420	1623.145	249.655	458.209	1343.014	233.009	514.762	1022.148	296.478	621.775	822.822	259.455	145.016	1352.475	259.152	55.731	1034.006	348.530	-61.054	851.317	291.495	463.511	826.730	244.181	397.004	443.538	205.717	359.294	54.987	165.444	304.667	20.111	302.166	400.380	28.975	384.456	383.037	26.911	278.286	103.569	847.858	258.576	177.344	437.639	214.181	221.021	54.057	167.457	272.125	27.177	311.576	187.750	28.724	398.889	210.181	23.504
391	3.90000	310.185	304.532	1623.151	249.666	458.281	1343.147	233.022	514.878	1022.048	296.481	621.723	823.104	259.465	145.128	1352.400	259.095	55.727	1033.984	348.402	-61.009	851.229	291.492	463.520	826.736	244.154	397.194	443.610	205.602	359.325	55.058	165.435	304.542	20.059	302.242	400.321	28.601	384.473	383.100	26.983	278.275	103.544	847.958	258.430	177.298	437.506	214.295	220.926	54.191	167.355	272.191	27.033	311.574	187.763	28.907	398.924	210.190	23.527
