NO_OF_SAMPLES	581
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
FIRST_SAMPLE	379
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
379	3.78000	0.373753	0.494243	1.910119	0.231494	0.169372	-0.021644	0.000000	0.000000	0.000000	
380	3.79000	0.373709	0.562334	1.645011	0.204223	0.160105	-0.012330	0.000000	0.000000	0.000000	
381	3.80000	0.419087	0.562749	1.732509	0.222683	0.142234	-0.026176	0.000000	0.000000	0.000000	
382	3.81000	0.373445	0.562946	1.910336	0.249691	0.178557	-0.026232	0.000000	0.000000	0.000000	
383	3.82000	0.510899	0.539930	2.531168	0.213747	0.151182	-0.012611	0.000000	0.000000	0.000000	
384	3.83000	0.259931	0.516572	1.644428	0.213253	0.169094	-0.016829	0.000000	0.000000	0.000000	
385	3.84000	0.328626	0.448372	2.086871	0.222497	0.160161	-0.017013	0.000000	0.000000	0.000000	
386	3.85000	0.350923	0.516623	1.913232	0.203903	0.223405	-0.017030	0.000000	0.000000	0.000000	
387	3.86000	0.351115	0.539663	1.731262	0.213765	0.114914	-0.021458	0.000000	0.000000	0.000000	
388	3.87000	0.237356	0.447839	1.912296	0.194928	0.214158	-0.021487	0.000000	0.000000	0.000000	
389	3.88000	0.373720	0.585389	1.999916	0.222485	0.178297	-0.016993	0.000000	0.000000	0.000000	
390	3.89000	0.328005	0.585875	1.909535	0.276657	0.178653	-0.007851	0.000000	0.000000	0.000000	
391	3.90000	0.351455	0.425705	2.530751	0.222812	0.178277	-0.035480	0.000000	0.000000	0.000000	
392	3.91000	0.419441	0.516898	1.910590	0.213342	0.160211	-0.012463	0.000000	0.000000	0.000000	
393	3.92000	0.442396	0.585257	2.088242	0.204415	0.151049	-0.003253	0.000000	0.000000	0.000000	
394	3.93000	0.373920	0.539655	2.266597	0.213440	0.196308	-0.021646	0.000000	0.000000	0.000000	
395	3.94000	0.373833	0.562519	2.177316	0.213620	0.178228	-0.026186	0.000000	0.000000	0.000000	
396	3.95000	0.374439	0.562074	2.266566	0.195066	0.177974	0.010554	0.000000	0.000000	0.000000	
397	3.96000	0.396926	0.516636	2.088313	0.195340	0.160008	-0.012414	0.000000	0.000000	0.000000	
398	3.97000	0.261189	0.538844	2.619952	0.177430	0.150486	0.006140	0.000000	0.000000	0.000000	
399	3.98000	0.374018	0.585288	1.998299	0.213707	0.132965	-0.012326	0.000000	0.000000	0.000000	
400	3.99000	0.260709	0.562138	2.531116	0.213619	0.168904	-0.003108	0.000000	0.000000	0.000000	
401	4.00000	0.328794	0.516565	2.531981	0.195660	0.177979	-0.026155	0.000000	0.000000	0.000000	
402	4.01000	0.351154	0.585152	1.910205	0.204607	0.141937	-0.016872	0.000000	0.000000	0.000000	
403	4.02000	0.373886	0.630847	1.999184	0.204710	0.141941	-0.016878	0.000000	0.000000	0.000000	
404	4.03000	0.351460	0.493689	2.266808	0.195153	0.196122	-0.012434	0.000000	0.000000	0.000000	
405	4.04000	0.419413	0.425767	1.911080	0.230993	0.196568	-0.008022	0.000000	0.000000	0.000000	
406	4.05000	0.419166	0.494344	2.089077	0.231364	0.205618	-0.026359	0.000000	0.000000	0.000000	
407	4.06000	0.510664	0.539885	2.265112	0.204737	0.142127	-0.021736	0.000000	0.000000	0.000000	
408	4.07000	0.328459	0.516639	2.088524	0.204410	0.178109	-0.021544	0.000000	0.000000	0.000000	
409	4.08000	0.510098	0.631202	2.090729	0.213285	0.205536	-0.017170	0.000000	0.000000	0.000000	
410	4.09000	0.373923	0.494107	1.999034	0.222426	0.169274	-0.017045	0.000000	0.000000	0.000000	
411	4.10000	0.396656	0.516794	1.998865	0.195735	0.141983	-0.035328	0.000000	0.000000	0.000000	
412	4.11000	0.374316	0.494262	2.529846	0.231970	0.151174	-0.021675	0.000000	0.000000	0.000000	
413	4.12000	0.419570	0.494299	2.086837	0.231585	0.151283	-0.012517	0.000000	0.000000	0.000000	
414	4.13000	0.351344	0.562217	2.088904	0.204217	0.178078	-0.003185	0.000000	0.000000	0.000000	
415	4.14000	0.442575	0.631120	2.532068	0.231497	0.178292	0.010419	0.000000	0.000000	0.000000	
416	4.15000	0.419681	0.562438	2.265668	0.204546	0.160070	-0.012445	0.000000	0.000000	0.000000	
417	4.16000	0.442162	0.539620	1.910933	0.195447	0.151067	-0.021609	0.000000	0.000000	0.000000	
418	4.17000	0.350874	0.630893	2.089733	0.213478	0.196277	-0.021535	0.000000	0.000000	0.000000	
419	4.18000	0.442201	0.539905	2.443352	0.213831	0.178311	-0.035495	0.000000	0.000000	0.000000	
420	4.19000	0.328471	0.630377	2.000949	0.177300	0.168800	-0.012213	0.000000	0.000000	0.000000	
421	4.20000	0.373436	0.562737	1.733206	0.231553	0.169392	-0.026169	0.000000	0.000000	0.000000	
422	4.21000	0.328675	0.516462	2.266847	0.195194	0.196084	-0.012388	0.000000	0.000000	0.000000	
423	4.22000	0.373845	0.425717	1.731579	0.222511	0.142212	-0.026212	0.000000	0.000000	0.000000	
424	4.23000	0.282773	0.562337	1.642487	0.213775	0.114826	-0.021343	0.000000	0.000000	0.000000	
425	4.24000	0.442434	0.517104	2.531632	0.222717	0.178339	-0.021769	0.000000	0.000000	0.000000	
426	4.25000	0.351467	0.516838	2.175618	0.222576	0.151084	-0.007812	0.000000	0.000000	0.000000	
427	4.26000	0.374371	0.585243	2.531287	0.213734	0.160017	-0.007820	0.000000	0.000000	0.000000	
428	4.27000	0.418900	0.493741	1.648198	0.176782	0.223382	-0.035418	0.000000	0.000000	0.000000	
429	4.28000	0.487971	0.517595	2.529632	0.258996	0.151516	-0.012683	0.000000	0.000000	0.000000	
430	4.29000	0.418826	0.585493	1.735293	0.222179	0.205563	-0.021656	0.000000	0.000000	0.000000	
431	4.30000	0.533544	0.448022	2.001630	0.158789	0.178045	-0.012591	0.000000	0.000000	0.000000	
432	4.31000	0.351287	0.562181	1.999751	0.195372	0.159946	-0.012313	0.000000	0.000000	0.000000	
433	4.32000	0.373359	0.562592	1.556578	0.222271	0.178386	-0.021559	0.000000	0.000000	0.000000	
434	4.33000	0.328001	0.539780	1.732393	0.222743	0.151189	-0.035262	0.000000	0.000000	0.000000	
435	4.34000	0.442046	0.585339	2.178734	0.204373	0.196331	-0.021679	0.000000	0.000000	0.000000	
436	4.35000	0.441802	0.630678	1.646801	0.177183	0.169038	-0.021511	0.000000	0.000000	0.000000	
437	4.36000	0.351474	0.493894	2.176513	0.213355	0.169119	-0.007835	0.000000	0.000000	0.000000	
438	4.37000	0.419192	0.494449	1.909127	0.231864	0.142322	-0.035435	0.000000	0.000000	0.000000	
439	4.38000	0.373754	0.539917	2.087642	0.231716	0.169342	-0.026217	0.000000	0.000000	0.000000	
440	4.39000	0.351332	0.494072	2.087732	0.231285	0.178314	-0.003285	0.000000	0.000000	0.000000	
441	4.40000	0.487242	0.540315	2.089449	0.249380	0.214880	-0.021875	0.000000	0.000000	0.000000	
442	4.41000	0.351138	0.585367	1.999217	0.231431	0.169251	-0.003201	0.000000	0.000000	0.000000	
443	4.42000	0.419451	0.539888	2.176352	0.222698	0.160258	-0.021666	0.000000	0.000000	0.000000	
444	4.43000	0.373954	0.539776	2.265576	0.222630	0.178280	-0.021638	0.000000	0.000000	0.000000	
445	4.44000	0.373957	0.494228	1.998013	0.231616	0.151246	-0.017038	0.000000	0.000000	0.000000	
446	4.45000	0.419162	0.585223	1.912223	0.195378	0.178183	-0.026172	0.000000	0.000000	0.000000	
447	4.46000	0.487402	0.562910	1.732913	0.231458	0.151414	-0.012528	0.000000	0.000000	0.000000	
448	4.47000	0.487192	0.517267	1.643722	0.213804	0.133284	-0.044618	0.000000	0.000000	0.000000	
449	4.48000	0.396356	0.653693	2.179694	0.204350	0.214347	-0.021595	0.000000	0.000000	0.000000	
450	4.49000	0.374226	0.425519	1.998174	0.213350	0.151111	-0.012462	0.000000	0.000000	0.000000	
451	4.50000	0.487369	0.563243	2.087807	0.258675	0.178734	-0.017238	0.000000	0.000000	0.000000	
452	4.51000	0.283013	0.562091	2.088110	0.195572	0.159861	-0.021409	0.000000	0.000000	0.000000	
453	4.52000	0.487855	0.585640	2.532194	0.222732	0.178370	-0.017192	0.000000	0.000000	0.000000	
454	4.53000	0.351224	0.516845	2.088102	0.222386	0.178259	-0.012430	0.000000	0.000000	0.000000	
455	4.54000	0.396657	0.516649	1.912679	0.203835	0.205332	-0.003298	0.000000	0.000000	0.000000	
456	4.55000	0.396339	0.676734	2.000128	0.222670	0.169251	-0.016947	0.000000	0.000000	0.000000	
457	4.56000	0.441921	0.585560	2.088285	0.213834	0.160255	-0.035407	0.000000	0.000000	0.000000	
458	4.57000	0.373332	0.539655	1.467553	0.204403	0.160201	-0.035276	0.000000	0.000000	0.000000	
459	4.58000	0.419568	0.380268	2.086555	0.231544	0.160403	-0.026378	0.000000	0.000000	0.000000	
460	4.59000	0.373418	0.562886	1.733075	0.249470	0.178561	-0.017038	0.000000	0.000000	0.000000	
461	4.60000	0.419773	0.585376	2.442432	0.213797	0.151056	-0.012450	0.000000	0.000000	0.000000	
462	4.61000	0.327925	0.585310	1.733288	0.213684	0.160153	-0.035224	0.000000	0.000000	0.000000	
463	4.62000	0.441929	0.539902	2.089690	0.222302	0.205552	-0.021750	0.000000	0.000000	0.000000	
464	4.63000	0.328137	0.584924	1.735382	0.194996	0.196148	-0.012293	0.000000	0.000000	0.000000	
465	4.64000	0.487183	0.540409	2.177680	0.249681	0.205852	-0.035638	0.000000	0.000000	0.000000	
466	4.65000	0.418801	0.517140	1.556091	0.222443	0.169449	-0.035407	0.000000	0.000000	0.000000	
467	4.66000	0.419172	0.448765	2.087526	0.222826	0.169421	-0.049270	0.000000	0.000000	0.000000	
468	4.67000	0.487635	0.562391	1.913165	0.194876	0.196323	-0.003358	0.000000	0.000000	0.000000	
