NO_OF_SAMPLES	581
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
FIRST_SAMPLE	379
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
379	3.78000	1.527587	1.282906	563.845456	-1.091848	-22.370963	0.103479	39.135173	-2.383342	0.000000	
380	3.79000	1.482650	1.145985	564.294298	-1.200972	-22.344579	0.094441	39.060141	-2.565373	0.000000	
381	3.80000	1.549534	1.078622	563.937391	-1.264795	-22.326375	0.075892	39.048096	-2.675152	0.000000	
382	3.81000	1.458470	0.941766	563.938463	-1.328713	-22.281359	0.066932	38.974676	-2.778750	0.000000	
383	3.82000	1.229468	0.941852	563.758843	-1.401184	-22.354783	0.053721	39.133774	-2.908078	0.000000	
384	3.83000	1.320617	0.964842	564.117678	-1.482918	-22.300612	0.039679	39.006094	-3.052978	0.000000	
385	3.84000	1.410410	0.897603	563.849852	-1.528304	-22.364283	0.030335	39.131357	-3.129968	0.000000	
386	3.85000	1.366266	0.828554	564.476947	-1.582782	-22.337691	0.030472	39.043435	-3.218486	0.000000	
387	3.86000	1.456947	0.783516	564.567641	-1.664393	-22.411100	0.044123	39.160674	-3.359380	0.000000	
388	3.87000	1.411645	0.828855	564.925344	-1.709638	-22.393284	0.030420	39.107286	-3.440789	0.000000	
389	3.88000	1.387628	0.806644	564.657367	-1.773276	-22.411749	0.021290	39.160459	-3.553377	0.000000	
390	3.89000	1.456798	0.806395	565.105564	-1.818556	-22.421390	0.034943	39.141206	-3.630950	0.000000	
391	3.90000	1.364081	0.806912	564.568472	-1.845844	-22.466944	0.030572	39.266131	-3.682437	0.000000	
392	3.91000	1.409858	0.897848	565.016706	-1.945501	-22.476991	0.044240	39.249170	-3.862635	0.000000	
393	3.92000	1.340933	0.943440	564.747612	-1.927215	-22.531551	0.053606	39.369583	-3.835166	0.000000	
394	3.93000	1.248690	0.988970	564.390430	-2.009075	-22.541393	0.072179	39.418771	-3.985648	0.000000	
395	3.94000	1.249049	0.920620	564.569732	-2.027151	-22.587145	0.076844	39.487127	-4.011654	0.000000	
396	3.95000	1.383380	1.103888	564.033709	-2.117850	-22.633075	0.099444	39.596937	-4.188973	0.000000	
397	3.96000	1.405960	0.990262	563.855525	-2.127168	-22.633033	0.099430	39.607905	-4.198622	0.000000	
398	3.97000	1.542255	1.059108	563.855579	-2.126904	-22.696670	0.112919	39.711061	-4.203053	0.000000	
399	3.98000	1.519017	0.945582	563.856440	-2.199549	-22.760908	0.113064	39.826580	-4.323804	0.000000	
400	3.99000	1.655961	0.991217	564.036242	-2.226643	-22.797653	0.140339	39.869150	-4.373822	0.000000	
401	4.00000	1.814629	0.992345	564.304990	-2.298814	-22.916229	0.130868	40.048799	-4.499882	0.000000	
402	4.01000	1.837572	0.901091	563.947931	-2.262826	-22.916088	0.158419	40.072547	-4.432197	0.000000	
403	4.02000	1.928648	0.833489	564.485174	-2.344074	-23.034895	0.144549	40.237992	-4.567445	0.000000	
404	4.03000	2.111011	0.811220	564.664961	-2.362080	-23.089565	0.157969	40.308900	-4.596408	0.000000	
405	4.04000	2.156118	0.834445	564.574998	-2.343614	-23.189529	0.167118	40.489246	-4.566027	0.000000	
406	4.05000	2.157218	0.902109	565.112098	-2.379648	-23.217541	0.190114	40.499845	-4.630595	0.000000	
407	4.06000	2.133590	0.834323	564.933308	-2.415862	-23.308754	0.190255	40.675934	-4.691235	0.000000	
408	4.07000	2.226091	0.765933	565.649156	-2.415645	-23.308724	0.171709	40.617296	-4.680513	0.000000	
409	4.08000	2.270730	0.925885	565.648298	-2.433256	-23.418070	0.180812	40.807503	-4.723002	0.000000	
410	4.09000	2.134533	0.947853	565.648199	-2.433402	-23.372873	0.190283	40.737269	-4.724819	0.000000	
411	4.10000	2.132152	1.085657	565.020517	-2.424160	-23.399554	0.162643	40.830394	-4.723105	0.000000	
412	4.11000	2.086280	1.062789	564.752381	-2.424481	-23.335763	0.158104	40.740291	-4.724122	0.000000	
413	4.12000	2.016729	1.131428	564.304228	-2.415295	-23.390263	0.162857	40.874514	-4.716194	0.000000	
414	4.13000	1.923522	1.268539	563.408380	-2.379248	-23.316778	0.144540	40.816404	-4.668914	0.000000	
415	4.14000	1.808224	1.359984	563.139073	-2.415434	-23.335091	0.126385	40.876866	-4.741751	0.000000	
416	4.15000	1.762708	1.268783	562.870739	-2.379297	-23.353097	0.135727	40.931794	-4.673137	0.000000	
417	4.16000	1.854229	1.200698	563.229438	-2.424620	-23.371578	0.130970	40.931742	-4.746007	0.000000	
418	4.17000	1.831996	1.268512	563.587755	-2.479108	-23.308434	0.130961	40.794987	-4.844725	0.000000	
419	4.18000	1.969383	1.086505	563.768468	-2.506553	-23.326842	0.144525	40.804644	-4.879012	0.000000	
420	4.19000	1.992522	0.995268	563.948931	-2.579351	-23.327532	0.158304	40.791025	-5.000157	0.000000	
421	4.20000	1.946480	1.063962	564.126454	-2.579095	-23.308990	0.112408	40.748460	-5.003129	0.000000	
422	4.21000	2.017464	1.017145	564.933249	-2.597266	-23.282485	0.153648	40.637689	-5.025331	0.000000	
423	4.22000	1.972362	0.812280	565.112494	-2.606503	-23.282409	0.126264	40.627731	-5.025645	0.000000	
424	4.23000	1.949210	0.926036	565.202167	-2.669972	-23.264763	0.130856	40.591640	-5.145277	0.000000	
425	4.24000	1.835236	0.834909	565.291558	-2.706300	-23.283232	0.112789	40.625916	-5.202314	0.000000	
