NO_OF_SAMPLES	127
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
FIRST_SAMPLE	153
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
153	1.52000	8.260586	-19.162319	548.231520	72.798563	-9.582975	-3.721173	16.715428	133.648794	0.000000	
154	1.53000	10.702397	-25.452044	561.251252	74.822887	-9.888587	-4.123533	16.691952	134.597445	0.000000	
155	1.54000	13.806160	-31.557844	576.215662	76.831725	-10.420059	-4.517294	16.958081	135.004045	0.000000	
156	1.55000	17.138360	-38.235467	589.318770	78.720355	-10.978987	-4.851672	17.296423	135.654870	0.000000	
157	1.56000	20.537997	-45.396079	599.240597	80.253878	-11.494558	-5.245238	17.637476	136.443970	0.000000	
158	1.57000	23.801974	-52.789455	607.222204	81.450225	-11.967441	-5.601316	17.964087	137.107852	0.000000	
159	1.58000	26.701922	-60.392210	613.351914	82.390885	-12.333918	-5.942783	18.188506	137.769113	0.000000	
160	1.59000	29.280524	-67.430134	614.449707	82.964910	-12.513254	-6.195345	18.277160	138.921384	0.000000	
161	1.60000	31.085506	-74.227053	611.226394	82.865753	-12.598937	-6.394686	18.394593	139.946347	0.000000	
162	1.61000	31.956612	-80.875943	602.273794	82.009086	-12.383520	-6.508534	18.253871	141.060893	0.000000	
163	1.62000	31.962141	-86.896830	587.672942	80.433448	-12.093032	-6.531823	18.216495	142.314424	0.000000	
164	1.63000	30.941450	-92.244779	567.078204	78.101491	-11.528762	-6.496604	17.961657	143.773983	0.000000	
165	1.64000	29.191132	-96.415138	542.606627	75.152849	-10.934004	-6.421392	17.813502	145.161336	0.000000	
166	1.65000	25.415718	-98.869025	511.439062	71.229056	-10.114671	-6.037243	17.606161	146.564461	0.000000	
167	1.66000	21.843092	-101.067684	470.138338	65.704459	-9.025551	-5.663363	17.158254	147.927883	0.000000	
