NO_OF_FRAMES	636
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2146	21.45000	-91.520	382.611	1583.338	-75.748	503.918	1328.971	-38.161	597.064	1035.313	36.251	488.738	1202.076	-260.374	274.938	1328.228	-359.997	212.737	1035.872	-204.116	157.534	1176.225	-50.243	491.317	795.774	86.278	429.022	451.362	108.616	396.198	54.795	68.160	343.612	23.043	207.933	439.767	29.059	288.569	414.699	29.315	-307.242	238.816	837.817	-352.237	305.359	430.201	-474.672	400.198	61.793	-466.257	468.088	31.401	-451.036	304.624	33.913	-392.020	243.387	28.232
2147	21.46000	-91.651	382.227	1583.373	-76.195	503.753	1328.670	-38.489	597.326	1035.339	36.018	488.746	1201.951	-260.383	274.549	1328.232	-359.845	212.315	1035.705	-203.854	157.474	1175.884	-50.274	491.279	795.881	86.223	428.829	451.414	108.887	396.259	54.845	68.248	343.630	23.025	208.110	439.417	29.057	288.568	415.113	29.092	-307.020	238.589	837.703	-352.275	305.284	430.032	-474.679	400.133	61.825	-466.278	468.220	31.257	-451.162	304.582	34.218	-391.732	243.545	28.300
2148	21.47000	-91.620	381.881	1583.295	-76.637	503.721	1328.543	-39.236	597.279	1035.111	35.560	488.817	1201.998	-260.417	274.190	1328.172	-359.655	211.882	1035.541	-203.916	156.972	1175.945	-50.368	491.228	795.858	86.195	428.840	451.495	108.860	396.306	54.889	68.067	343.676	23.234	207.976	439.503	29.058	288.478	414.798	29.237	-306.954	238.277	837.679	-352.489	304.860	430.306	-474.581	400.168	61.669	-466.372	468.039	31.164	-451.069	304.586	34.093	-391.910	243.259	28.331
2149	21.48000	-91.712	381.511	1583.399	-76.898	503.611	1328.593	-39.873	597.356	1035.109	35.423	489.118	1201.822	-260.459	273.863	1327.949	-359.459	211.476	1035.452	-203.169	157.137	1175.587	-50.412	491.271	795.971	86.210	428.841	451.482	108.793	396.149	55.029	68.141	343.689	23.194	208.135	439.858	29.147	288.624	414.692	29.259	-306.812	238.023	837.573	-352.078	305.015	429.800	-474.463	400.009	61.617	-466.316	468.179	31.101	-451.061	304.557	34.026	-391.833	243.118	28.562
2150	21.49000	-91.797	381.171	1583.382	-77.312	503.553	1328.499	-40.396	597.447	1034.913	35.061	489.154	1201.779	-260.311	273.572	1327.792	-359.357	211.049	1035.229	-203.645	156.468	1175.843	-50.457	491.232	795.989	86.295	428.920	451.330	108.546	396.026	54.762	68.077	343.726	23.174	208.123	439.461	29.023	288.685	414.795	29.192	-306.611	237.791	837.499	-352.530	304.571	430.274	-474.906	400.104	62.091	-466.433	467.941	31.227	-451.019	304.639	34.108	-391.681	243.580	28.001
2151	21.50000	-91.772	380.823	1583.363	-77.686	503.519	1328.308	-41.117	597.426	1034.686	34.723	489.374	1201.765	-260.365	273.268	1327.634	-359.213	210.691	1035.114	-203.392	156.431	1175.547	-50.601	491.212	795.987	86.201	428.841	451.456	107.627	397.541	57.267	68.094	343.708	23.031	208.056	439.470	29.226	288.719	414.789	29.239	-306.634	237.530	837.412	-352.096	304.861	429.767	-474.368	400.312	61.603	-466.423	468.265	31.411	-451.059	304.544	33.917	-391.555	243.523	28.106
2152	21.51000	-91.850	380.427	1583.337	-77.982	503.562	1328.293	-41.870	597.795	1034.385	34.464	489.911	1201.737	-260.058	272.822	1327.543	-358.967	210.214	1034.951	-202.810	156.352	1175.108	-50.554	491.161	795.920	86.358	428.738	451.551	107.785	397.348	57.475	68.162	343.816	23.080	208.236	439.741	29.299	288.615	414.715	29.257	-306.538	237.266	837.391	-352.181	304.658	429.868	-474.884	400.069	61.822	-466.588	468.058	31.332	-451.075	304.534	34.101	-391.681	243.183	28.302
2153	21.52000	-91.962	380.069	1583.419	-78.274	503.458	1328.059	-42.558	597.732	1034.179	33.859	489.951	1201.738	-259.777	272.387	1327.334	-358.828	209.829	1034.843	-202.407	156.068	1174.793	-50.613	491.047	795.830	86.349	428.639	451.556	109.127	395.986	54.827	68.202	343.890	23.166	208.180	439.382	29.049	288.639	414.662	29.100	-306.414	237.008	837.341	-351.530	304.776	429.486	-474.388	400.379	61.591	-466.429	468.056	31.454	-451.064	304.464	34.077	-391.745	243.493	27.952
2154	21.53000	-92.013	379.736	1583.368	-78.559	503.359	1328.028	-43.262	597.853	1034.008	33.482	490.247	1201.581	-259.681	272.014	1326.774	-358.736	209.386	1034.664	-202.080	156.145	1174.552	-50.785	491.085	795.868	86.504	428.433	451.513	107.629	397.601	57.958	68.147	343.930	23.294	208.029	439.556	28.802	288.542	414.628	29.183	-306.356	236.767	837.206	-351.853	304.548	429.727	-474.645	399.964	61.661	-466.467	467.889	31.237	-451.094	304.624	33.986	-391.568	243.558	27.903
2155	21.54000	-92.091	379.320	1583.481	-78.921	503.416	1328.115	-43.936	597.924	1033.940	33.153	490.759	1201.513	-259.894	271.668	1326.789	-358.448	209.033	1034.422	-202.218	155.365	1174.586	-50.821	491.061	795.863	86.392	428.415	451.729	106.787	398.785	59.564	68.187	343.975	23.175	207.913	439.610	28.983	288.595	414.813	28.854	-306.240	236.550	837.138	-351.718	304.544	429.553	-474.819	400.075	61.821	-466.546	467.927	31.287	-450.997	304.531	34.032	-391.566	243.512	27.894
