NO_OF_SAMPLES	636
FREQUENCY	100
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
FIRST_SAMPLE	2146
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2146	21.45000	0.378390	1.200464	4.057154	0.330529	0.352866	0.013626	0.000000	0.000000	0.000000	
2147	21.46000	0.537066	1.176958	4.059436	0.330347	0.352825	0.027413	0.000000	0.000000	0.000000	
2148	21.47000	0.400022	1.109779	3.970390	0.321419	0.361978	0.008983	0.000000	0.000000	0.000000	
2149	21.48000	0.357530	1.268154	4.319511	0.321425	0.334524	0.008975	0.000000	0.000000	0.000000	
2150	21.49000	0.380755	1.222273	4.494687	0.321414	0.352838	-0.004830	0.000000	0.000000	0.000000	
2151	21.50000	0.401024	1.177791	4.057441	0.321538	0.352916	-0.000206	0.000000	0.000000	0.000000	
2152	21.51000	0.355953	1.109558	4.232576	0.321436	0.352844	-0.000306	0.000000	0.000000	0.000000	
2153	21.52000	0.377428	1.155892	3.882607	0.321698	0.325583	-0.000324	0.000000	0.000000	0.000000	
2154	21.53000	0.469486	1.086799	4.234927	0.312429	0.307217	-0.000529	0.000000	0.000000	0.000000	
2155	21.54000	0.378398	1.109997	4.145253	0.321679	0.334744	-0.014184	0.000000	0.000000	0.000000	
2156	21.55000	0.378213	1.245729	3.969202	0.321354	0.371030	0.018375	0.000000	0.000000	0.000000	
